dataset,method,seed,C,tol,sparsity,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
synth_sp0.7,DCD_L2_perm,42,0.001,1,0.7,2.5552752017974854,15,5.72428411022329,0.924,0.9210455764075067,0.9257612503368364,0.9233973928235453,0.9818711414048766
synth_sp0.7,DCD_L2_perm,142,0.001,1,0.7,2.0306341648101807,15,5.747817701337366,0.9262666666666667,0.9246392303580973,0.92736531760922,0.9260002676301351,0.9829985679987943
synth_sp0.7,DCD_L2_perm,242,0.001,1,0.7,2.0475311279296875,15,5.709128619288169,0.9207333333333333,0.9188432835820896,0.9224080267558529,0.9206222044195207,0.9816712096801077
synth_sp0.8,DCD_L2_perm,42,0.001,1,0.8,1.5976884365081787,16,7.717878527810856,0.8891333333333333,0.8870041405102177,0.8904532046124967,0.8887253261960522,0.9650137117188884
synth_sp0.8,DCD_L2_perm,142,0.001,1,0.8,1.5941729545593262,16,7.757679255206996,0.8916666666666667,0.8890071865850413,0.8941239459242404,0.8915582248915582,0.9670541385338758
synth_sp0.8,DCD_L2_perm,242,0.001,1,0.8,1.6272311210632324,16,7.674079809730945,0.8871333333333333,0.8856269925611052,0.8890518735831444,0.8873361283023891,0.9641303282512058
synth_sp0.9,DCD_L2_perm,42,0.001,1,0.9,1.115288496017456,19,10.702931742297846,0.8296,0.8295394388565378,0.8317409766454352,0.8306387490060959,0.926506928941865
synth_sp0.9,DCD_L2_perm,142,0.001,1,0.9,1.0414469242095947,18,10.705618198774816,0.8296,0.8256745925728025,0.8316738428417654,0.8286633596996916,0.9259858268171236
synth_sp0.9,DCD_L2_perm,242,0.001,1,0.9,0.9641191959381104,18,10.744246511582729,0.8298,0.8348660535785686,0.8266033254156769,0.8307141436244281,0.9265314669768016
synth_sp0.95,DCD_L2_perm,42,0.001,1,0.95,0.8157906532287598,22,15.769474738214665,0.7392666666666666,0.7443721182533225,0.7304058549567531,0.7373228557995836,0.8454768219072877
synth_sp0.95,DCD_L2_perm,142,0.001,1,0.95,0.7173943519592285,20,15.987321329938103,0.7402666666666666,0.7444429655264209,0.7389351301360814,0.7416788224373425,0.8503029563088886
synth_sp0.95,DCD_L2_perm,242,0.001,1,0.95,0.7356750965118408,22,15.856246393901824,0.7424666666666667,0.7437840712671188,0.7428950863213811,0.7433393130024583,0.8491557909370995
synth_sp0.99,DCD_L2_perm,42,0.001,1,0.99,0.31522536277770996,24,25.980820649298696,0.572,0.5728999464954521,0.570306258322237,0.5716001601494728,0.626742358653082
synth_sp0.99,DCD_L2_perm,142,0.001,1,0.99,0.34876275062561035,25,25.90107745602596,0.572,0.5761929870814658,0.5769535374868004,0.5765730114760586,0.6227177745398353
synth_sp0.99,DCD_L2_perm,242,0.001,1,0.99,0.33264899253845215,24,25.980484564756818,0.5746666666666667,0.5797914995990376,0.5727488777396356,0.5762486716259299,0.6264818420367465
synth_sp0.5,DCD_L1_perm_shrink,42,0.001,1,0.5,3.597341775894165,17,7.1289296473394534,0.9027333333333334,0.8974839400428265,0.9063386944181646,0.9018895837536144,0.9720463439067412
synth_sp0.5,DCD_L2_perm_shrink,42,0.001,1,0.5,3.245803117752075,16,5.497508972675839,0.9216666666666666,0.9186171643798763,0.9229625625084471,0.920784736735657,0.981553152421473
synth_sp0.5,DCD_L1_perm_shrink,142,0.001,1,0.5,2.653916358947754,16,7.141658273061417,0.9058666666666667,0.9050241805480924,0.9052674012362268,0.9051457745532715,0.9728931700022024
synth_sp0.5,DCD_L2_perm_shrink,142,0.001,1,0.5,3.071521759033203,16,5.497146835996265,0.9239333333333334,0.9232836221953513,0.9234076861058855,0.9233456499832046,0.9819898029101687
synth_sp0.5,DCD_L1_perm_shrink,242,0.001,1,0.5,2.6371612548828125,17,7.182392339017246,0.9060666666666667,0.9038305907742109,0.9059078004596458,0.904868003510904,0.9732255813367539
synth_sp0.5,DCD_L2_perm_shrink,242,0.001,1,0.5,3.2999749183654785,16,5.535223478318118,0.9236,0.9219657081139463,0.9232121130187914,0.9225884895974061,0.9823106192597285
synth_sp0.6,DCD_L1_perm_shrink,42,0.001,1,0.6,3.053806781768799,16,7.3584413080605895,0.9107333333333333,0.9121300211416491,0.911046588359509,0.911587982832618,0.975559468303779
synth_sp0.6,DCD_L2_perm_shrink,42,0.001,1,0.6,2.9360721111297607,16,5.672596006062308,0.9262,0.9279100529100529,0.9258281641810743,0.9268679394860276,0.9839749864479048
synth_sp0.6,DCD_L1_perm_shrink,142,0.001,1,0.6,2.587794065475464,16,7.372151699172889,0.9108666666666667,0.910600081643761,0.9077590884427563,0.9091773656680932,0.9756261806105444
synth_sp0.6,DCD_L2_perm_shrink,142,0.001,1,0.6,2.7450599670410156,16,5.680865943502679,0.9274666666666667,0.9259761388286334,0.9264785675529029,0.9262272850556008,0.9840774600018608
synth_sp0.6,DCD_L1_perm_shrink,242,0.001,1,0.6,2.423933744430542,16,7.320659941622723,0.9081333333333333,0.9056552841139155,0.908106645012857,0.9068793080145966,0.9732772755433239
synth_sp0.6,DCD_L2_perm_shrink,242,0.001,1,0.6,2.5675137042999268,16,5.650593156750782,0.9255333333333333,0.9243572395128552,0.9244823386114495,0.9244197848298261,0.9824757170366153
synth_sp0.7,DCD_L1_perm_shrink,42,0.001,1,0.7,1.8674037456512451,17,7.348123599805746,0.9056666666666666,0.9010548804913874,0.9091888978711937,0.9051036147810342,0.9728200291032367
synth_sp0.7,DCD_L2_perm_shrink,42,0.001,1,0.7,2.1045007705688477,16,5.709036239455205,0.9246666666666666,0.9214898177920686,0.9267043923470762,0.9240897487572215,0.9821346187914796
synth_sp0.7,DCD_L1_perm_shrink,142,0.001,1,0.7,1.8868889808654785,16,7.399081191883589,0.9083333333333333,0.9075934110084372,0.908201554543018,0.9078973809364325,0.9748915509937712
synth_sp0.7,DCD_L2_perm_shrink,142,0.001,1,0.7,2.2950656414031982,16,5.729814301344722,0.9267333333333333,0.9255048816370202,0.92736531760922,0.926434165606801,0.9833187539961027
synth_sp0.7,DCD_L1_perm_shrink,242,0.001,1,0.7,1.8183083534240723,16,7.363254154439144,0.9028666666666667,0.8997077577045696,0.9060869565217391,0.9028860894487769,0.9723451505016723
synth_sp0.7,DCD_L2_perm_shrink,242,0.001,1,0.7,1.998335838317871,15,5.706532486553018,0.9218666666666666,0.9191381832690517,0.9245484949832776,0.9218354008269974,0.9816028889209881
synth_sp0.8,DCD_L1_perm_shrink,42,0.001,1,0.8,1.5173323154449463,16,9.224778844440841,0.8633333333333333,0.8610146862483311,0.8647090372754089,0.8628579074123629,0.9482341277333568
synth_sp0.8,DCD_L2_perm_shrink,42,0.001,1,0.8,1.8366479873657227,18,7.673984384415719,0.8896666666666667,0.8856839026983916,0.8934030571198712,0.889526733862893,0.9652156558296333
synth_sp0.8,DCD_L1_perm_shrink,142,0.001,1,0.8,1.4557533264160156,18,9.279450338404008,0.8716,0.8695188591230174,0.8732432070673269,0.8713770535595031,0.9523561410047038
synth_sp0.8,DCD_L2_perm_shrink,142,0.001,1,0.8,1.858915090560913,18,7.714672468660428,0.8916,0.8897186291505534,0.893053138803373,0.8913827655310621,0.9673275292880379
synth_sp0.8,DCD_L1_perm_shrink,242,0.001,1,0.8,1.3054420948028564,16,9.210195336702222,0.8617333333333334,0.861714895319376,0.861714895319376,0.861714895319376,0.9471830212832537
synth_sp0.8,DCD_L2_perm_shrink,242,0.001,1,0.8,1.7712042331695557,17,7.654231931857765,0.887,0.8854941551540914,0.8889185224696626,0.8872030345378319,0.9642669504758568
synth_sp0.9,DCD_L1_perm_shrink,42,0.001,1,0.9,0.7431893348693848,17,11.705105391200073,0.8024,0.8028616852146264,0.804140127388535,0.8035003977724742,0.8997994869357346
synth_sp0.9,DCD_L2_perm_shrink,42,0.001,1,0.9,1.2558844089508057,20,10.685783750427149,0.8298,0.8299562971791815,0.8316082802547771,0.8307814674885663,0.9267358231044754
synth_sp0.9,DCD_L1_perm_shrink,142,0.001,1,0.9,0.7646706104278564,17,11.723893274184837,0.8032,0.8016428763802855,0.8009956942949408,0.801319154664154,0.9008165400121071
synth_sp0.9,DCD_L2_perm_shrink,142,0.001,1,0.9,1.183622121810913,19,10.677291581277565,0.8294666666666667,0.8258021390374332,0.8311356297093649,0.8284603004291845,0.9262387364963122
synth_sp0.9,DCD_L1_perm_shrink,242,0.001,1,0.9,0.7912275791168213,18,11.72331350061962,0.8053333333333333,0.8116970021413277,0.8003430984428609,0.8059800664451827,0.9012261521761749
synth_sp0.9,DCD_L2_perm_shrink,242,0.001,1,0.9,1.2772910594940186,19,10.714461221772108,0.8291333333333334,0.8365320091262918,0.8225125362892584,0.8294630381262892,0.9265104691501209
synth_sp0.95,DCD_L1_perm_shrink,42,0.001,1,0.95,0.45363426208496094,18,15.586929700879995,0.7133333333333334,0.7180252271802523,0.704457751164338,0.7111767866738312,0.8123589116578689
synth_sp0.95,DCD_L2_perm_shrink,42,0.001,1,0.95,0.9110043048858643,22,15.767072298231692,0.7410666666666667,0.7443143587673261,0.7359946773120426,0.740131138766225,0.8456969650100823
synth_sp0.95,DCD_L1_perm_shrink,142,0.001,1,0.95,0.6092431545257568,17,15.691864772566465,0.7128,0.7167929796569605,0.7122473246135553,0.7145129224652087,0.8125863417524103
synth_sp0.95,DCD_L2_perm_shrink,142,0.001,1,0.95,0.8518409729003906,21,15.95845766835281,0.7414,0.7457378795950985,0.7397278372308099,0.7427207004045898,0.8495585555250286
synth_sp0.95,DCD_L1_perm_shrink,242,0.001,1,0.95,0.579108715057373,17,15.67411709821686,0.7155333333333334,0.7162359178263751,0.7176626826029217,0.7169485903814262,0.8131930288662397
synth_sp0.95,DCD_L2_perm_shrink,242,0.001,1,0.95,0.9935526847839355,22,15.85946648957567,0.7413333333333333,0.7424926920010629,0.7420982735723771,0.7422954303931987,0.8493708521558565
synth_sp0.99,DCD_L1_perm_shrink,42,0.001,1,0.99,0.20020771026611328,19,23.422289534941633,0.5640666666666667,0.5647592370281446,0.5637816245006658,0.5642700073299127,0.6071569549456977
synth_sp0.99,DCD_L2_perm_shrink,42,0.001,1,0.99,0.4581029415130615,25,25.958513888872396,0.5711333333333334,0.571943887775551,0.5700399467376831,0.5709903301100366,0.6260016462251489
synth_sp0.99,DCD_L1_perm_shrink,142,0.001,1,0.99,0.23525357246398926,19,23.400414286695245,0.5647333333333333,0.5694205012597798,0.5667898627243928,0.5681021366673282,0.6040525156858774
synth_sp0.99,DCD_L2_perm_shrink,142,0.001,1,0.99,0.4643542766571045,26,25.87684047532804,0.5725333333333333,0.5767405063291139,0.577349524815206,0.5770448548812664,0.623546784110667
synth_sp0.99,DCD_L1_perm_shrink,242,0.001,1,0.99,0.22671985626220703,19,23.396358858555374,0.5638,0.568377768934872,0.5657512542909955,0.5670614702573943,0.6074264403055487
synth_sp0.99,DCD_L2_perm_shrink,242,0.001,1,0.99,0.3921041488647461,26,25.92215210527907,0.5728666666666666,0.5777067518977227,0.5727488777396356,0.5752171318703175,0.625798184370802
