dataset,method,seed,C,tol,fraction,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
SUSY_50pct,LinearSVC_L1,142,0.001,1,0.5,5.6901538372039795,6,,0.785068,0.8387539571235664,0.6567315030029768,0.736665332560096,0.8521823687408544
SUSY_50pct,LinearSVC_L2,142,0.001,1,0.5,20.096770524978638,21,,0.7845253333333333,0.8302943058221369,0.6652685785521633,0.7386766793765989,0.8518862934752663
SUSY_50pct,SVC_linear,142,0.001,1,0.5,Timeout >500s
SUSY_50pct,DCD_L1_perm,242,0.001,1,0.5,5.685633182525635,5,903.931923956125,0.7848386666666667,0.8415965298702078,0.6530555199683209,0.7354343902011158,0.8529200512179126
SUSY_50pct,LinearSVC_L1,242,0.001,1,0.5,6.061432361602783,6,,0.784604,0.8434520235492264,0.6503301848336265,0.7344073417059733,0.8528027533834531
SUSY_50pct,LinearSVC_L2,242,0.001,1,0.5,19.824477672576904,21,,0.7845626666666666,0.8322651602625002,0.6631969112868473,0.7381740990407052,0.8526339353366876
SUSY_50pct,SVC_linear,242,0.001,1,0.5,Timeout >500s
SUSY_60pct,DCD_L1_perm,42,0.001,1,0.6,6.461768627166748,4,1081.2677505590705,0.78447,0.8404252330760419,0.6533701839782197,0.7351860674973345,0.852590936760881
SUSY_60pct,LinearSVC_L1,42,0.001,1,0.6,7.46677041053772,5,,0.7845844444444444,0.8393203641972238,0.6549449909491063,0.7357577640936734,0.8525631676927127
SUSY_60pct,LinearSVC_L2,42,0.001,1,0.6,29.60119128227234,21,,0.7844555555555556,0.8311813720726848,0.6641802996258317,0.7383555472832083,0.8522642472773145
SUSY_60pct,SVC_linear,42,0.001,1,0.6,Timeout >500s
SUSY_60pct,DCD_L1_perm,142,0.001,1,0.6,7.358539581298828,5,1080.6150803476537,0.7844222222222222,0.8390464130032328,0.654599873287746,0.7354347286576469,0.8521964401543731
SUSY_60pct,LinearSVC_L1,142,0.001,1,0.6,7.608371734619141,5,,0.7844422222222223,0.8387645286936843,0.6549785535869035,0.7355652847141954,0.852169110518034
SUSY_60pct,LinearSVC_L2,142,0.001,1,0.6,28.288248538970947,21,,0.7841411111111111,0.8302305260411293,0.66424165628937,0.7380180189899279,0.8518401312201637
SUSY_60pct,SVC_linear,142,0.001,1,0.6,Timeout >500s
SUSY_60pct,DCD_L1_perm,242,0.001,1,0.6,7.008375644683838,5,1082.0099951655754,0.7849733333333333,0.840572113224502,0.6541565896442204,0.7357399183967752,0.852978813661753
SUSY_60pct,LinearSVC_L1,242,0.001,1,0.6,6.680669546127319,5,,0.7846166666666666,0.8430717705457784,0.6503637440873374,0.734284551095856,0.8528569426272969
SUSY_60pct,LinearSVC_L2,242,0.001,1,0.6,27.30398201942444,21,,0.7847111111111111,0.8313962323791693,0.664211758306866,0.7384597525518262,0.8526147742523702
SUSY_60pct,SVC_linear,242,0.001,1,0.6,Timeout >500s
SUSY_70pct,DCD_L1_perm,42,0.001,1,0.7,6.982528448104858,4,1259.4693809567343,0.7842228571428571,0.8376868448470158,0.6557001210799835,0.7356048741892495,0.8524427989587723
SUSY_70pct,LinearSVC_L1,42,0.001,1,0.7,8.351070880889893,5,,0.7843895238095238,0.8365855789314844,0.6574331043493095,0.7362679735744916,0.8525240442386302
SUSY_70pct,LinearSVC_L2,42,0.001,1,0.7,32.34658765792847,21,,0.7838914285714286,0.8304786314100561,0.6633269117946883,0.7375509193825598,0.8520686818205894
SUSY_70pct,SVC_linear,42,0.001,1,0.7,Timeout >500s
SUSY_70pct,DCD_L1_perm,142,0.001,1,0.7,10.0036940574646,6,1260.0061117229677,0.7847057142857143,0.8394337671637324,0.654336081177338,0.7354169080649862,0.8524109392286686
SUSY_70pct,LinearSVC_L1,142,0.001,1,0.7,9.564032316207886,6,,0.7849361904761905,0.8375008294294852,0.6571936167819817,0.7364718595773831,0.8524836254922242
SUSY_70pct,LinearSVC_L2,142,0.001,1,0.7,34.457152128219604,22,,0.7845828571428571,0.8304488814399184,0.6645957170289961,0.7383228171008517,0.8521038784963544
SUSY_70pct,SVC_linear,142,0.001,1,0.7,Timeout >500s
SUSY_70pct,DCD_L1_perm,242,0.001,1,0.7,5.7989373207092285,4,1261.288126682359,0.7854695238095238,0.8376470276921448,0.6588580800659376,0.7375725075405513,0.8533673056452739
SUSY_70pct,LinearSVC_L1,242,0.001,1,0.7,7.661542892456055,5,,0.7853561904761904,0.8386662488847346,0.6573678229341414,0.7370316179061567,0.8533380993746171
SUSY_70pct,LinearSVC_L2,242,0.001,1,0.7,27.479085206985474,21,,0.7848104761904762,0.831427284068623,0.6644319747572088,0.7386080862371545,0.8528763855605083
SUSY_70pct,SVC_linear,242,0.001,1,0.7,Timeout >500s
SUSY_80pct,DCD_L1_perm,42,0.001,1,0.8,6.8632752895355225,4,1438.727455814483,0.7843166666666667,0.8396998731528765,0.6533969019409307,0.7349252973154555,0.8527236000018852
SUSY_80pct,LinearSVC_L1,42,0.001,1,0.8,9.662543296813965,6,,0.7846583333333333,0.8373014767991238,0.6570900972104357,0.7363297790929034,0.8528206198106157
SUSY_80pct,LinearSVC_L2,42,0.001,1,0.8,31.797337293624878,21,,0.7841666666666667,0.8303582815602966,0.663986611256597,0.7379110192731534,0.8523566797087218
SUSY_80pct,SVC_linear,42,0.001,1,0.8,Timeout >500s
SUSY_80pct,DCD_L1_perm,142,0.001,1,0.8,8.925235986709595,4,1439.3328452633605,0.7854258333333334,0.8349116357558494,0.6616803562448528,0.7382701919196745,0.8530493023968857
